DATA REPORT,,,,,
2026/02/23,14:51:14,33.33,,,
2026/02/23,14:51:19,33.34,,,
2026/02/23,14:51:24,33.33,,,
2026/02/23,14:51:29,33.31,,,
2026/02/23,14:51:34,33.29,,,
2026/02/23,14:51:39,33.28,,,
2026/02/23,14:51:44,33.28,,,
2026/02/23,14:51:49,33.28,,,
2026/02/23,14:51:54,33.27,,,
2026/02/23,14:51:59,33.26,,,
2026/02/23,14:52:04,33.24,,,
2026/02/23,14:52:09,33.24,,,
2026/02/23,14:52:14,33.23,,,
2026/02/23,14:52:19,33.24,,,
2026/02/23,14:52:24,33.24,,,
2026/02/23,14:52:29,33.24,,,
2026/02/23,14:52:34,33.22,,,
2026/02/23,14:52:39,33.21,,,
2026/02/23,14:52:44,33.20,,,
2026/02/23,14:52:49,33.20,,,
2026/02/23,14:52:54,33.19,,,
2026/02/23,14:52:59,33.17,,,
2026/02/23,14:53:04,33.15,,,
2026/02/23,14:53:09,33.13,,,
2026/02/23,14:53:14,33.11,,,
2026/02/23,14:53:19,33.11,,,
2026/02/23,14:53:24,33.09,,,
2026/02/23,14:53:29,33.07,,,
2026/02/23,14:53:34,33.05,,,
2026/02/23,14:53:39,33.03,,,
2026/02/23,14:53:44,33.02,,,
2026/02/23,14:53:49,33.01,,,
2026/02/23,14:53:54,32.99,,,
2026/02/23,14:53:59,32.99,,,
2026/02/23,14:54:04,33.00,,,
2026/02/23,14:54:09,32.98,,,
2026/02/23,14:54:14,32.96,,,
2026/02/23,14:54:19,32.95,,,
2026/02/23,14:54:24,32.93,,,
2026/02/23,14:54:29,32.91,,,
2026/02/23,14:54:34,32.90,,,
2026/02/23,14:54:39,32.88,,,
2026/02/23,14:54:44,32.87,,,
2026/02/23,14:54:49,32.86,,,
2026/02/23,14:54:54,32.84,,,
2026/02/23,14:54:59,32.84,,,
2026/02/23,14:55:04,32.82,,,
2026/02/23,14:55:09,32.80,,,
2026/02/23,14:55:14,32.78,,,
2026/02/23,14:55:19,32.76,,,
2026/02/23,14:55:24,32.75,,,
2026/02/23,14:55:29,32.75,,,
2026/02/23,14:55:34,32.74,,,
2026/02/23,14:55:39,32.72,,,
2026/02/23,14:55:44,32.70,,,
2026/02/23,14:55:49,32.68,,,
2026/02/23,14:55:54,32.66,,,
2026/02/23,14:55:59,32.64,,,
2026/02/23,14:56:04,32.63,,,
2026/02/23,14:56:09,32.61,,,
2026/02/23,14:56:14,32.60,,,
2026/02/23,14:56:19,32.59,,,
2026/02/23,14:56:24,32.58,,,
2026/02/23,14:56:29,32.56,,,
2026/02/23,14:56:34,32.55,,,
2026/02/23,14:56:39,32.53,,,
2026/02/23,14:56:44,32.51,,,
2026/02/23,14:56:49,32.51,,,
2026/02/23,14:56:54,32.50,,,
2026/02/23,14:56:59,32.48,,,
2026/02/23,14:57:04,32.47,,,
2026/02/23,14:57:09,32.45,,,
2026/02/23,14:57:14,32.43,,,
2026/02/23,14:57:19,32.41,,,
2026/02/23,14:57:24,32.39,,,
2026/02/23,14:57:29,32.38,,,
2026/02/23,14:57:34,32.38,,,
2026/02/23,14:57:39,32.36,,,
2026/02/23,14:57:44,32.35,,,
2026/02/23,14:57:49,32.33,,,
2026/02/23,14:57:54,32.31,,,
2026/02/23,14:57:59,32.29,,,
2026/02/23,14:58:04,32.27,,,
2026/02/23,14:58:09,32.26,,,
2026/02/23,14:58:14,32.25,,,
2026/02/23,14:58:19,32.24,,,
2026/02/23,14:58:24,32.22,,,
2026/02/23,14:58:29,32.20,,,
2026/02/23,14:58:34,32.18,,,
2026/02/23,14:58:39,32.17,,,
2026/02/23,14:58:44,32.15,,,
2026/02/23,14:58:49,32.14,,,
2026/02/23,14:58:54,32.12,,,
2026/02/23,14:58:59,32.12,,,
2026/02/23,14:59:04,32.10,,,
2026/02/23,14:59:09,32.08,,,
2026/02/23,14:59:14,32.06,,,
2026/02/23,14:59:19,32.04,,,
2026/02/23,14:59:24,32.04,,,
2026/02/23,14:59:29,32.02,,,
2026/02/23,14:59:34,32.00,,,
2026/02/23,14:59:39,31.99,,,
2026/02/23,14:59:44,31.97,,,
2026/02/23,14:59:49,31.95,,,
2026/02/23,14:59:54,31.93,,,
2026/02/23,14:59:59,31.93,,,
2026/02/23,15:00:04,31.91,,,
2026/02/23,15:00:09,31.89,,,
2026/02/23,15:00:14,31.89,,,
2026/02/23,15:00:19,31.88,,,
2026/02/23,15:00:24,31.86,,,
2026/02/23,15:00:29,31.84,,,
2026/02/23,15:00:34,31.82,,,
2026/02/23,15:00:39,31.80,,,
2026/02/23,15:00:44,31.78,,,
2026/02/23,15:00:49,31.76,,,
2026/02/23,15:00:54,31.74,,,
2026/02/23,15:00:59,31.72,,,
2026/02/23,15:01:04,31.72,,,
2026/02/23,15:01:09,31.70,,,
2026/02/23,15:01:14,31.72,,,
2026/02/23,15:01:19,31.70,,,
2026/02/23,15:01:24,31.68,,,
2026/02/23,15:01:29,31.66,,,
2026/02/23,15:01:34,31.64,,,
2026/02/23,15:01:39,31.62,,,
2026/02/23,15:01:44,31.60,,,
2026/02/23,15:01:49,31.58,,,
2026/02/23,15:01:54,31.56,,,
2026/02/23,15:01:59,31.54,,,
2026/02/23,15:02:04,31.52,,,
2026/02/23,15:02:09,31.51,,,
2026/02/23,15:02:14,31.49,,,
2026/02/23,15:02:19,31.47,,,
2026/02/23,15:02:24,31.45,,,
2026/02/23,15:02:29,31.43,,,
2026/02/23,15:02:34,31.42,,,
2026/02/23,15:02:39,31.41,,,
2026/02/23,15:02:44,31.40,,,
2026/02/23,15:02:49,31.38,,,
2026/02/23,15:02:54,31.36,,,
2026/02/23,15:02:59,31.34,,,
2026/02/23,15:03:04,31.32,,,
2026/02/23,15:03:09,31.30,,,
2026/02/23,15:03:14,31.29,,,
2026/02/23,15:03:19,31.28,,,
2026/02/23,15:03:24,31.27,,,
2026/02/23,15:03:29,31.25,,,
2026/02/23,15:03:34,31.25,,,
2026/02/23,15:03:39,31.23,,,
2026/02/23,15:03:44,31.21,,,
2026/02/23,15:03:49,31.20,,,
2026/02/23,15:03:54,31.20,,,
2026/02/23,15:03:59,31.19,,,
2026/02/23,15:04:04,31.20,,,
2026/02/23,15:04:09,31.18,,,
2026/02/23,15:04:14,31.16,,,
2026/02/23,15:04:19,31.14,,,
2026/02/23,15:04:24,31.12,,,
2026/02/23,15:04:29,31.10,,,
2026/02/23,15:04:34,31.09,,,
2026/02/23,15:04:39,31.07,,,
2026/02/23,15:04:44,31.05,,,
2026/02/23,15:04:49,31.04,,,
2026/02/23,15:04:54,31.02,,,
2026/02/23,15:04:59,31.01,,,
2026/02/23,15:05:04,30.99,,,
2026/02/23,15:05:09,30.97,,,
2026/02/23,15:05:14,30.95,,,
2026/02/23,15:05:19,30.93,,,
2026/02/23,15:05:24,30.91,,,
2026/02/23,15:05:29,30.89,,,
2026/02/23,15:05:34,30.88,,,
2026/02/23,15:05:39,30.86,,,
2026/02/23,15:05:44,30.84,,,
2026/02/23,15:05:49,30.83,,,
2026/02/23,15:05:54,30.82,,,
2026/02/23,15:05:59,30.80,,,
2026/02/23,15:06:04,30.81,,,
2026/02/23,15:06:09,30.81,,,
2026/02/23,15:06:14,30.79,,,
2026/02/23,15:06:19,30.77,,,
2026/02/23,15:06:24,30.75,,,
2026/02/23,15:06:29,30.73,,,
2026/02/23,15:06:34,30.71,,,
2026/02/23,15:06:39,30.71,,,
2026/02/23,15:06:44,30.71,,,
2026/02/23,15:06:49,30.69,,,
2026/02/23,15:06:54,30.67,,,
2026/02/23,15:06:59,30.65,,,
2026/02/23,15:07:04,30.65,,,
2026/02/23,15:07:09,30.63,,,
2026/02/23,15:07:14,30.61,,,
2026/02/23,15:07:19,30.59,,,
2026/02/23,15:07:24,30.57,,,
2026/02/23,15:07:29,30.55,,,
2026/02/23,15:07:34,30.56,,,
2026/02/23,15:07:39,30.54,,,
2026/02/23,15:07:44,30.52,,,
2026/02/23,15:07:49,30.50,,,
2026/02/23,15:07:54,30.48,,,
2026/02/23,15:07:59,30.48,,,
2026/02/23,15:08:04,30.47,,,
2026/02/23,15:08:09,30.45,,,
2026/02/23,15:08:14,30.43,,,
2026/02/23,15:08:19,30.42,,,
2026/02/23,15:08:24,30.41,,,
2026/02/23,15:08:29,30.39,,,
2026/02/23,15:08:34,30.37,,,
2026/02/23,15:08:39,30.35,,,
2026/02/23,15:08:44,30.33,,,
2026/02/23,15:08:49,30.33,,,
2026/02/23,15:08:54,30.32,,,
2026/02/23,15:08:59,30.31,,,
2026/02/23,15:09:04,30.29,,,
2026/02/23,15:09:09,30.27,,,
2026/02/23,15:09:14,30.25,,,
2026/02/23,15:09:19,30.24,,,
2026/02/23,15:09:24,30.23,,,
2026/02/23,15:09:29,30.21,,,
2026/02/23,15:09:34,30.21,,,
2026/02/23,15:09:39,30.20,,,
2026/02/23,15:09:44,30.18,,,
2026/02/23,15:09:49,30.16,,,
2026/02/23,15:09:54,30.14,,,
2026/02/23,15:09:59,30.12,,,
2026/02/23,15:10:04,30.10,,,
2026/02/23,15:10:09,30.08,,,
2026/02/23,15:10:14,30.06,,,
2026/02/23,15:10:19,30.05,,,
2026/02/23,15:10:24,30.03,,,
2026/02/23,15:10:29,30.02,,,
2026/02/23,15:10:34,30.02,,,
2026/02/23,15:10:39,30.01,,,
2026/02/23,15:10:44,30.00,,,
2026/02/23,15:10:49,29.99,,,
2026/02/23,15:10:54,29.97,,,
2026/02/23,15:10:59,29.96,,,
2026/02/23,15:11:04,29.96,,,
2026/02/23,15:11:09,29.95,,,
2026/02/23,15:11:14,29.94,,,
2026/02/23,15:11:19,29.92,,,
2026/02/23,15:11:24,29.90,,,
2026/02/23,15:11:29,29.89,,,
2026/02/23,15:11:34,29.87,,,
2026/02/23,15:11:39,29.85,,,
2026/02/23,15:11:44,29.84,,,
2026/02/23,15:11:49,29.83,,,
2026/02/23,15:11:54,29.82,,,
2026/02/23,15:11:59,29.80,,,
2026/02/23,15:12:04,29.78,,,
2026/02/23,15:12:09,29.77,,,
2026/02/23,15:12:14,29.75,,,
2026/02/23,15:12:19,29.73,,,
2026/02/23,15:12:24,29.73,,,
2026/02/23,15:12:29,29.71,,,
2026/02/23,15:12:34,29.69,,,
2026/02/23,15:12:39,29.67,,,
2026/02/23,15:12:44,29.65,,,
2026/02/23,15:12:49,29.63,,,
2026/02/23,15:12:54,29.62,,,
2026/02/23,15:12:59,29.61,,,
2026/02/23,15:13:04,29.60,,,
2026/02/23,15:13:09,29.59,,,
2026/02/23,15:13:14,29.57,,,
2026/02/23,15:13:19,29.55,,,
2026/02/23,15:13:24,29.55,,,
2026/02/23,15:13:29,29.52,,,
2026/02/23,15:13:34,29.52,,,
2026/02/23,15:13:39,29.51,,,
2026/02/23,15:13:44,29.51,,,
2026/02/23,15:13:49,29.49,,,
2026/02/23,15:13:54,29.47,,,
2026/02/23,15:13:59,29.46,,,
2026/02/23,15:14:04,29.44,,,
2026/02/23,15:14:09,29.42,,,
2026/02/23,15:14:14,29.40,,,
2026/02/23,15:14:19,29.41,,,
2026/02/23,15:14:24,29.40,,,
2026/02/23,15:14:29,29.39,,,
2026/02/23,15:14:34,29.38,,,
2026/02/23,15:14:39,29.38,,,
2026/02/23,15:14:44,29.36,,,
2026/02/23,15:14:49,29.35,,,
2026/02/23,15:14:54,29.33,,,
2026/02/23,15:14:59,29.33,,,
2026/02/23,15:15:04,29.31,,,
2026/02/23,15:15:09,29.30,,,
2026/02/23,15:15:14,29.29,,,
2026/02/23,15:15:19,29.27,,,
2026/02/23,15:15:24,29.26,,,
2026/02/23,15:15:29,29.26,,,
2026/02/23,15:15:34,29.24,,,
2026/02/23,15:15:39,29.22,,,
2026/02/23,15:15:44,29.20,,,
2026/02/23,15:15:49,29.20,,,
2026/02/23,15:15:54,29.18,,,
2026/02/23,15:15:59,29.17,,,
2026/02/23,15:16:04,29.15,,,
2026/02/23,15:16:09,29.13,,,
2026/02/23,15:16:14,29.12,,,
2026/02/23,15:16:19,29.12,,,
2026/02/23,15:16:24,29.10,,,
2026/02/23,15:16:29,29.11,,,
2026/02/23,15:16:34,29.09,,,
2026/02/23,15:16:39,29.07,,,
2026/02/23,15:16:44,29.06,,,
2026/02/23,15:16:49,29.05,,,
2026/02/23,15:16:54,29.03,,,
2026/02/23,15:16:59,29.02,,,
2026/02/23,15:17:04,29.00,,,
2026/02/23,15:17:09,28.99,,,
2026/02/23,15:17:14,28.97,,,
2026/02/23,15:17:19,28.95,,,
2026/02/23,15:17:24,28.94,,,
2026/02/23,15:17:29,28.93,,,
2026/02/23,15:17:34,28.92,,,
2026/02/23,15:17:39,28.91,,,
2026/02/23,15:17:44,28.89,,,
2026/02/23,15:17:49,28.89,,,
2026/02/23,15:17:54,28.87,,,
2026/02/23,15:17:59,28.86,,,
2026/02/23,15:18:04,28.84,,,
2026/02/23,15:18:09,28.82,,,
2026/02/23,15:18:14,28.83,,,
2026/02/23,15:18:19,28.81,,,
2026/02/23,15:18:24,28.80,,,
2026/02/23,15:18:29,28.79,,,
2026/02/23,15:18:34,28.79,,,
2026/02/23,15:18:39,28.76,,,
2026/02/23,15:18:44,28.74,,,
2026/02/23,15:18:49,28.73,,,
2026/02/23,15:18:54,28.72,,,
2026/02/23,15:18:59,28.72,,,
2026/02/23,15:19:04,28.72,,,
2026/02/23,15:19:09,28.70,,,
2026/02/23,15:19:14,28.68,,,
2026/02/23,15:19:19,28.66,,,
2026/02/23,15:19:24,28.65,,,
2026/02/23,15:19:29,28.64,,,
2026/02/23,15:19:34,28.63,,,
2026/02/23,15:19:39,28.62,,,
2026/02/23,15:19:44,28.61,,,
2026/02/23,15:19:49,28.60,,,
2026/02/23,15:19:54,28.58,,,
2026/02/23,15:19:59,28.58,,,
2026/02/23,15:20:04,28.57,,,
2026/02/23,15:20:09,28.56,,,
2026/02/23,15:20:14,28.55,,,
2026/02/23,15:20:19,28.54,,,
2026/02/23,15:20:24,28.53,,,
2026/02/23,15:20:29,28.52,,,
2026/02/23,15:20:34,28.53,,,
2026/02/23,15:20:39,28.51,,,
2026/02/23,15:20:44,28.49,,,
2026/02/23,15:20:49,28.48,,,
2026/02/23,15:20:54,28.47,,,
2026/02/23,15:20:59,28.46,,,
2026/02/23,15:21:04,28.45,,,
2026/02/23,15:21:09,28.44,,,
2026/02/23,15:21:14,28.42,,,
2026/02/23,15:21:19,28.40,,,
2026/02/23,15:21:24,28.39,,,
2026/02/23,15:21:29,28.39,,,
2026/02/23,15:21:34,28.37,,,
2026/02/23,15:21:39,28.35,,,
2026/02/23,15:21:44,28.33,,,
2026/02/23,15:21:49,28.31,,,
2026/02/23,15:21:54,28.29,,,
2026/02/23,15:21:59,28.29,,,
2026/02/23,15:22:04,28.27,,,
2026/02/23,15:22:09,28.27,,,
2026/02/23,15:22:14,28.25,,,
2026/02/23,15:22:19,28.24,,,
2026/02/23,15:22:24,28.24,,,
2026/02/23,15:22:29,28.22,,,
2026/02/23,15:22:34,28.22,,,
2026/02/23,15:22:39,28.20,,,
2026/02/23,15:22:44,28.20,,,
2026/02/23,15:22:49,28.18,,,
2026/02/23,15:22:54,28.16,,,
2026/02/23,15:22:59,28.18,,,
2026/02/23,15:23:04,28.16,,,
2026/02/23,15:23:09,28.14,,,
2026/02/23,15:23:14,28.13,,,
2026/02/23,15:23:19,28.13,,,
2026/02/23,15:23:24,28.12,,,
2026/02/23,15:23:29,28.10,,,
2026/02/23,15:23:34,28.09,,,
2026/02/23,15:23:39,28.07,,,
2026/02/23,15:23:44,28.05,,,
2026/02/23,15:23:49,28.06,,,
2026/02/23,15:23:54,28.05,,,
2026/02/23,15:23:59,28.03,,,
2026/02/23,15:24:04,28.02,,,
2026/02/23,15:24:09,28.00,,,
2026/02/23,15:24:14,28.00,,,
2026/02/23,15:24:19,28.00,,,
2026/02/23,15:24:24,27.98,,,
2026/02/23,15:24:29,27.99,,,
2026/02/23,15:24:34,27.98,,,
2026/02/23,15:24:39,27.96,,,
2026/02/23,15:24:44,27.95,,,
2026/02/23,15:24:49,27.94,,,
2026/02/23,15:24:54,27.92,,,
2026/02/23,15:24:59,27.91,,,
2026/02/23,15:25:04,27.92,,,
2026/02/23,15:25:09,27.92,,,
2026/02/23,15:25:14,27.90,,,
2026/02/23,15:25:19,27.90,,,
2026/02/23,15:25:24,27.90,,,
2026/02/23,15:25:29,27.88,,,
2026/02/23,15:25:34,27.87,,,
2026/02/23,15:25:39,27.86,,,
2026/02/23,15:25:44,27.85,,,
2026/02/23,15:25:49,27.84,,,
2026/02/23,15:25:54,27.82,,,
2026/02/23,15:25:59,27.81,,,
2026/02/23,15:26:04,27.80,,,
2026/02/23,15:26:09,27.79,,,
2026/02/23,15:26:14,27.77,,,
2026/02/23,15:26:19,27.76,,,
2026/02/23,15:26:24,27.75,,,
2026/02/23,15:26:29,27.73,,,
2026/02/23,15:26:34,27.71,,,
2026/02/23,15:26:39,27.69,,,
2026/02/23,15:26:44,27.68,,,
2026/02/23,15:26:49,27.68,,,
2026/02/23,15:26:54,27.67,,,
2026/02/23,15:26:59,27.65,,,
2026/02/23,15:27:04,27.64,,,
2026/02/23,15:27:09,27.63,,,
2026/02/23,15:27:14,27.64,,,
2026/02/23,15:27:19,27.63,,,
2026/02/23,15:27:24,27.63,,,
2026/02/23,15:27:29,27.63,,,
2026/02/23,15:27:34,27.61,,,
2026/02/23,15:27:39,27.59,,,
2026/02/23,15:27:44,27.58,,,
2026/02/23,15:27:49,27.57,,,
2026/02/23,15:27:54,27.56,,,
2026/02/23,15:27:59,27.56,,,
2026/02/23,15:28:04,27.57,,,
2026/02/23,15:28:09,27.56,,,
2026/02/23,15:28:14,27.58,,,
2026/02/23,15:28:19,27.59,,,
2026/02/23,15:28:24,27.61,,,
2026/02/23,15:28:29,27.62,,,
2026/02/23,15:28:34,27.64,,,
2026/02/23,15:28:39,27.66,,,
2026/02/23,15:28:44,27.68,,,
2026/02/23,15:28:49,27.71,,,
2026/02/23,15:28:54,27.73,,,
2026/02/23,15:28:59,27.76,,,
2026/02/23,15:29:04,27.78,,,
2026/02/23,15:29:09,27.81,,,
2026/02/23,15:29:14,27.84,,,
2026/02/23,15:29:19,27.92,,,
2026/02/23,15:29:24,28.10,,,
2026/02/23,15:29:29,28.23,,,
2026/02/23,15:29:34,28.29,,,
2026/02/23,15:29:39,28.45,,,
2026/02/23,15:29:44,28.58,,,
2026/02/23,15:29:49,28.71,,,
2026/02/23,15:29:54,28.93,,,
2026/02/23,15:29:59,29.13,,,
2026/02/23,15:30:04,29.31,,,
2026/02/23,15:30:09,29.44,,,
2026/02/23,15:30:14,29.61,,,
2026/02/23,15:30:19,29.84,,,
2026/02/23,15:30:24,30.01,,,
2026/02/23,15:30:29,30.20,,,
2026/02/23,15:30:34,30.43,,,
2026/02/23,15:30:39,30.65,,,
2026/02/23,15:30:44,30.86,,,
2026/02/23,15:30:49,31.14,,,
2026/02/23,15:30:54,31.34,,,
2026/02/23,15:30:59,31.55,,,
2026/02/23,15:31:04,31.65,,,
2026/02/23,15:31:09,31.85,,,
2026/02/23,15:31:14,32.01,,,
2026/02/23,15:31:19,32.22,,,
2026/02/23,15:31:24,32.39,,,
2026/02/23,15:31:29,32.56,,,
2026/02/23,15:31:34,32.74,,,
2026/02/23,15:31:39,32.92,,,
2026/02/23,15:31:44,33.18,,,
2026/02/23,15:31:49,33.37,,,
2026/02/23,15:31:54,33.49,,,
2026/02/23,15:31:59,33.71,,,
2026/02/23,15:32:04,33.89,,,
2026/02/23,15:32:09,34.13,,,
2026/02/23,15:32:14,34.24,,,
2026/02/23,15:32:19,34.37,,,
2026/02/23,15:32:24,34.58,,,
2026/02/23,15:32:29,34.72,,,
2026/02/23,15:32:34,34.82,,,
2026/02/23,15:32:39,34.96,,,
2026/02/23,15:32:44,35.14,,,
2026/02/23,15:32:49,35.31,,,
2026/02/23,15:32:54,35.48,,,
2026/02/23,15:32:59,35.58,,,
2026/02/23,15:33:04,35.74,,,
2026/02/23,15:33:09,35.83,,,
2026/02/23,15:33:14,35.96,,,
2026/02/23,15:33:19,36.14,,,
2026/02/23,15:33:24,36.19,,,
2026/02/23,15:33:29,36.35,,,
2026/02/23,15:33:34,36.41,,,
2026/02/23,15:33:39,36.50,,,
2026/02/23,15:33:44,36.63,,,
2026/02/23,15:33:49,36.71,,,
2026/02/23,15:33:54,36.82,,,
2026/02/23,15:33:59,36.97,,,
2026/02/23,15:34:04,37.12,,,
2026/02/23,15:34:09,37.23,,,
2026/02/23,15:34:14,37.36,,,
2026/02/23,15:34:19,37.47,,,
2026/02/23,15:34:24,37.51,,,
2026/02/23,15:34:29,37.59,,,
2026/02/23,15:34:34,37.70,,,
2026/02/23,15:34:39,37.79,,,
2026/02/23,15:34:44,37.82,,,
2026/02/23,15:34:49,37.92,,,
2026/02/23,15:34:54,38.11,,,
2026/02/23,15:34:59,38.17,,,
2026/02/23,15:35:04,38.25,,,
2026/02/23,15:35:09,38.32,,,
2026/02/23,15:35:14,38.34,,,
2026/02/23,15:35:19,38.45,,,
2026/02/23,15:35:24,38.52,,,
2026/02/23,15:35:29,38.56,,,
2026/02/23,15:35:34,38.58,,,
2026/02/23,15:35:39,38.79,,,
2026/02/23,15:35:44,38.99,,,
2026/02/23,15:35:49,39.02,,,
2026/02/23,15:35:54,39.05,,,
2026/02/23,15:35:59,39.07,,,
2026/02/23,15:36:04,39.11,,,
2026/02/23,15:36:09,39.14,,,
2026/02/23,15:36:14,39.16,,,
2026/02/23,15:36:19,39.19,,,
2026/02/23,15:36:24,39.23,,,
2026/02/23,15:36:29,39.44,,,
2026/02/23,15:36:34,39.46,,,
2026/02/23,15:36:39,39.49,,,
2026/02/23,15:36:44,39.49,,,
2026/02/23,15:36:49,39.51,,,
2026/02/23,15:36:54,39.54,,,
2026/02/23,15:36:59,39.67,,,
2026/02/23,15:37:04,39.77,,,
2026/02/23,15:37:09,39.80,,,
2026/02/23,15:37:14,39.82,,,
2026/02/23,15:37:19,39.88,,,
2026/02/23,15:37:24,39.93,,,
2026/02/23,15:37:29,40.00,,,
2026/02/23,15:37:34,40.09,,,
2026/02/23,15:37:39,40.13,,,
2026/02/23,15:37:44,40.20,,,
2026/02/23,15:37:49,40.23,,,
2026/02/23,15:37:54,40.30,,,
2026/02/23,15:37:59,40.38,,,
2026/02/23,15:38:04,40.42,,,
2026/02/23,15:38:09,40.45,,,
2026/02/23,15:38:14,40.47,,,
2026/02/23,15:38:19,40.50,,,
2026/02/23,15:38:24,40.52,,,
2026/02/23,15:38:29,40.57,,,
2026/02/23,15:38:34,40.59,,,
2026/02/23,15:38:39,40.63,,,
2026/02/23,15:38:44,40.66,,,
2026/02/23,15:38:49,40.72,,,
2026/02/23,15:38:54,40.74,,,
2026/02/23,15:38:59,40.75,,,
2026/02/23,15:39:04,40.74,,,
2026/02/23,15:39:09,40.76,,,
2026/02/23,15:39:14,40.78,,,
2026/02/23,15:39:19,40.81,,,
2026/02/23,15:39:24,40.83,,,
2026/02/23,15:39:29,40.88,,,
2026/02/23,15:39:34,40.90,,,
2026/02/23,15:39:39,40.93,,,
2026/02/23,15:39:44,40.95,,,
2026/02/23,15:39:49,40.99,,,
2026/02/23,15:39:54,41.06,,,
2026/02/23,15:39:59,41.08,,,
2026/02/23,15:40:04,41.06,,,
2026/02/23,15:40:09,41.08,,,
2026/02/23,15:40:14,41.10,,,
2026/02/23,15:40:19,41.13,,,
2026/02/23,15:40:24,41.18,,,
2026/02/23,15:40:29,41.21,,,
2026/02/23,15:40:34,41.24,,,
2026/02/23,15:40:39,41.26,,,
2026/02/23,15:40:44,41.31,,,
2026/02/23,15:40:49,41.33,,,
2026/02/23,15:40:54,41.35,,,
2026/02/23,15:40:59,41.38,,,
2026/02/23,15:41:04,41.40,,,
2026/02/23,15:41:09,41.43,,,
2026/02/23,15:41:14,41.45,,,
2026/02/23,15:41:19,41.48,,,
2026/02/23,15:41:24,41.50,,,
2026/02/23,15:41:29,41.48,,,
2026/02/23,15:41:34,41.50,,,
2026/02/23,15:41:39,41.51,,,
2026/02/23,15:41:44,41.54,,,
2026/02/23,15:41:49,41.56,,,
2026/02/23,15:41:54,41.58,,,
2026/02/23,15:41:59,41.58,,,
2026/02/23,15:42:04,41.57,,,
2026/02/23,15:42:09,41.56,,,
2026/02/23,15:42:14,41.56,,,
2026/02/23,15:42:19,41.58,,,
2026/02/23,15:42:24,41.59,,,
2026/02/23,15:42:29,41.61,,,
2026/02/23,15:42:34,41.60,,,
2026/02/23,15:42:39,41.60,,,
